Comunitat Valenciana,10,Castelló,Castellón,12
Andalucía,01,Huelva,Huelva,21
Canarias,05,Santa Cruz de Tenerife,Santa Cruz de Tenerife,38
Castilla y León,07,Ávila,Ávila,05
Andalucía,01,Cádiz,Cádiz,11
Comunitat Valenciana,10,València,Valencia,46
Castilla - La Mancha,08,Guadalajara,Guadalajara,19
Castilla y León,07,Palencia,Palencia,34
Castilla y León,07,Segovia,Segovia,40
Castilla y León,07,Zamora,Zamora,49
Comunidad de Madrid,13,Madrid,Madrid,28
Cantabria,06,Cantabria,Cantabria,39
País Vasco,16,Bizkaia,Vizcaya,48
Extremadura,11,Badajoz,Badajoz,06
Aragón,02,Huesca,Huesca,22
Galicia,12,Lugo,Lugo,27
Castilla y León,07,Soria,Soria,42
Castilla - La Mancha,08,Toledo,Toledo,45
Illes Balears,04,Illes Balears,Islas Baleares,07
Comunidad Foral de Navarra,15,Navarra,Navarra,31
Comunitat Valenciana,10,Alacant,Alicante,03
Región de Murcia,14,Murcia,Murcia,30
Castilla - La Mancha,08,Albacete,Albacete,02
Extremadura,11,Cáceres,Cáceres,10
Castilla - La Mancha,08,Ciudad Real,Ciudad Real,13
Cataluña,09,Lleida,Lleida,25
Cataluña,09,Barcelona,Barcelona,08
Castilla - La Mancha,08,Cuenca,Cuenca,16
Andalucía,01,Sevilla,Sevilla,41
Castilla y León,07,Valladolid,Valladolid,47
Ceuta,18,Ceuta,Ceuta,51
Andalucía,01,Córdoba,Córdoba,14
Castilla y León,07,León,León,24
Andalucía,01,Jaén,Jaén,23
Castilla y León,07,Burgos,Burgos,09
País Vasco,16,Gipuzcoa,Guipúzcoa,20
Castilla y León,07,Salamanca,Salamanca,37
Melilla,19,Melilla,Melilla,52
Andalucía,01,Málaga,Málaga,29
Galicia,12,Ourense,Orense,32
Cataluña,09,Tarragona,Tarragona,43
Andalucía,01,Almería,Almería,04
País Vasco,16,Araba,Álava,01
Cataluña,09,Girona,Gerona,17
Andalucía,01,Granada,Granada,18
Rioja La,17,La Rioja,La Rioja,26
Galicia,12,A Coruña,La Coruña,15
Aragón,02,Teruel,Teruel,44
Aragón,02,Zaragoza,Zaragoza,50
Canarias,05,Las Palmas,Las Palmas,35
Galicia,12,Pontevedra,Pontevedra,36
Asturias Principado de,03,Asturias,Asturias,33
